日付,all,Mon,Tue,Wed,Thu,Fri,Num_Mon,Num_Tue,Num_Wed,Num_Thu,Num_Fri
14:35:00,1.3846534653465346,1.3078947368421054,1.3057142857142858,1.138888888888889,1.1971428571428573,1.5966666666666667,38,35,36,35,30
14:36:00,1.3995073891625618,1.3052631578947371,1.3000000000000003,1.2,1.1371428571428572,1.6833333333333336,38,35,36,35,30
14:37:00,1.3855721393034826,1.2763157894736843,1.3600000000000003,1.175,1.1571428571428573,1.6233333333333333,38,35,36,35,30
14:38:00,1.3589108910891081,1.2263157894736845,1.2857142857142858,1.1648648648648647,1.151428571428572,1.686666666666667,38,35,37,35,30
14:39:00,1.3767326732673255,1.1973684210526319,1.337142857142857,1.1594594594594596,1.1514285714285715,1.646666666666667,38,35,37,35,30
14:40:00,1.3800995024875615,1.245945945945946,1.3571428571428572,1.1833333333333336,1.1200000000000006,1.4741935483870974,37,35,36,35,31
14:41:00,1.3831683168316822,1.2918918918918922,1.3914285714285712,1.1888888888888893,1.114285714285715,1.5387096774193552,37,35,36,35,31
14:42:00,1.387128712871287,1.2702702702702704,1.3314285714285714,1.1583333333333334,1.1285714285714288,1.606451612903226,37,35,36,35,31
14:43:00,1.3737623762376239,1.3027027027027032,1.314285714285714,1.202777777777778,1.1542857142857146,1.5419354838709676,37,35,36,35,31
14:44:00,1.388669950738916,1.2972972972972974,1.3571428571428574,1.1444444444444448,1.1371428571428575,1.69375,37,35,36,35,32
14:45:00,1.3990147783251232,1.3189189189189188,1.3714285714285714,1.2027777777777782,1.1285714285714288,1.6375000000000002,37,35,36,35,32
14:46:00,1.3738916256157623,1.310810810810811,1.3085714285714285,1.138888888888889,1.148571428571429,1.5843750000000005,37,35,36,35,32
14:47:00,1.3220588235294108,1.2631578947368423,1.1771428571428573,1.186111111111111,1.1342857142857148,1.396875,38,35,36,35,32
14:48:00,1.3563725490196066,1.3605263157894738,1.1885714285714288,1.202777777777778,1.1657142857142861,1.4593750000000003,38,35,36,35,32
14:49:00,1.3911764705882346,1.3421052631578947,1.3085714285714285,1.2305555555555556,1.1342857142857146,1.6500000000000001,38,35,36,35,32
14:50:00,1.4297560975609755,1.4153846153846152,1.3114285714285718,1.2722222222222224,1.1257142857142861,1.80625,39,35,36,35,32
14:51:00,1.463592233009708,1.4102564102564104,1.2714285714285718,1.2567567567567568,1.0942857142857143,2.065625,39,35,37,35,32
14:52:00,1.5736585365853666,1.5897435897435892,1.3571428571428572,1.3702702702702705,1.1514285714285715,2.229032258064516,39,35,37,35,31
14:53:00,1.5519607843137253,1.730769230769231,1.2914285714285716,1.4,1.1600000000000006,2.141935483870968,39,35,37,35,31
14:54:00,1.5872549019607838,1.7589743589743596,1.2314285714285715,1.4594594594594597,1.1714285714285715,2.270967741935484,39,35,37,35,31
14:55:00,1.6607843137254905,1.7615384615384613,1.5028571428571433,1.589189189189189,1.1600000000000001,2.180645161290323,39,35,37,35,31
14:56:00,1.6414634146341462,1.7820512820512824,1.3314285714285716,1.7135135135135136,1.1457142857142857,2.167741935483871,39,35,37,35,31
14:57:00,1.6611650485436893,1.7149999999999992,1.4400000000000004,1.6756756756756757,1.1571428571428573,2.1612903225806455,40,35,37,35,31
14:58:00,1.7349514563106803,2.0025,1.4171428571428575,1.8783783783783783,1.2028571428571433,2.2129032258064516,40,35,37,35,31
14:59:00,1.8262135922330103,2.0974999999999993,1.3942857142857141,2.118918918918919,1.3114285714285714,2.180645161290323,40,35,37,35,31
15:00:00,1.9907766990291267,2.2924999999999995,1.5857142857142859,2.356756756756756,1.2685714285714285,2.5774193548387103,40,35,37,35,31
15:01:00,2.1951456310679616,2.2575000000000003,2.0942857142857143,2.751351351351351,1.6199999999999999,2.5741935483870972,40,35,37,35,31
15:02:00,2.1766990291262136,2.0875,2.2971428571428576,2.843243243243242,1.5942857142857143,2.458064516129032,40,35,37,35,31
15:03:00,2.2482926829268304,2.1574999999999993,2.4,2.9810810810810806,1.5285714285714287,2.5266666666666655,40,35,37,35,30
15:04:00,2.2359223300970865,1.9125,2.5057142857142853,3.0243243243243247,1.6714285714285717,2.6533333333333338,40,35,37,35,30
15:05:00,2.156310679611651,1.7775000000000003,2.5285714285714285,2.9054054054054053,1.5628571428571427,2.596666666666666,40,35,37,35,30
15:06:00,2.048058252427185,1.5450000000000002,2.225714285714286,2.789189189189189,1.6085714285714292,2.5933333333333333,40,35,37,35,30
15:07:00,1.9614634146341472,1.48,2.0514285714285716,2.616216216216216,1.58,2.466666666666667,40,35,37,35,30
15:08:00,1.816585365853659,1.4500000000000002,1.7942857142857145,2.2783783783783775,1.422857142857143,2.2999999999999994,40,35,37,35,30
